timestamp,device_id,temperature_c,humidity_pct,power_kw,pressure_bar,vibration_mm_s
2026-07-01T00:00:00+00:00,hvac_01,18.14,62.106,1.233,2.508,0.851
2026-07-01T00:15:00+00:00,hvac_01,17.811,62.633,1.21,2.502,0.857
2026-07-01T00:30:00+00:00,hvac_01,18.169,63.389,1.348,2.51,0.843
2026-07-01T00:45:00+00:00,hvac_01,17.882,62.715,1.447,2.514,0.876
2026-07-01T01:00:00+00:00,hvac_01,18.217,61.382,1.203,2.523,0.884
2026-07-01T01:15:00+00:00,hvac_01,18.052,62.841,1.287,2.531,0.824
2026-07-01T01:30:00+00:00,hvac_01,18.244,61.292,0.857,2.517,0.783
2026-07-01T01:45:00+00:00,hvac_01,18.334,62.966,1.067,2.538,0.804
2026-07-01T02:00:00+00:00,hvac_01,18.154,62.099,1.267,2.54,0.883
2026-07-01T02:15:00+00:00,hvac_01,18.29,62.723,1.322,2.525,0.842
2026-07-01T02:30:00+00:00,hvac_01,18.158,62.441,1.212,2.562,0.827
2026-07-01T02:45:00+00:00,hvac_01,18.076,62.465,1.463,2.541,0.912
2026-07-01T03:00:00+00:00,hvac_01,18.697,61.554,1.037,2.529,0.87
2026-07-01T03:15:00+00:00,hvac_01,18.138,61.408,1.288,2.531,0.889
2026-07-01T03:30:00+00:00,hvac_01,18.663,62.964,1.343,2.526,0.851
2026-07-01T03:45:00+00:00,hvac_01,18.44,61.568,1.165,2.531,0.877
2026-07-01T04:00:00+00:00,hvac_01,18.558,60.247,0.974,2.517,0.81
2026-07-01T04:15:00+00:00,hvac_01,18.909,61.09,1.247,2.531,0.866
2026-07-01T04:30:00+00:00,hvac_01,19.162,60.481,1.291,2.513,0.897
2026-07-01T04:45:00+00:00,hvac_01,19.12,60.36,1.246,2.545,0.848
2026-07-01T05:00:00+00:00,hvac_01,19.503,59.065,1.173,2.504,0.847
2026-07-01T05:15:00+00:00,hvac_01,19.587,59.204,1.353,2.485,0.898
2026-07-01T05:30:00+00:00,hvac_01,19.521,57.675,1.156,2.509,0.912
2026-07-01T05:45:00+00:00,hvac_01,19.296,57.325,1.454,2.499,0.871
2026-07-01T06:00:00+00:00,hvac_01,19.681,56.215,1.283,2.485,0.897
2026-07-01T06:15:00+00:00,hvac_01,19.794,58.568,1.292,2.512,0.821
2026-07-01T06:30:00+00:00,hvac_01,19.902,56.526,1.512,2.471,0.926
2026-07-01T06:45:00+00:00,hvac_01,20.196,57.017,1.357,2.487,0.856
2026-07-01T07:00:00+00:00,hvac_01,20.929,53.667,3.821,2.507,1.124
2026-07-01T07:15:00+00:00,hvac_01,21.411,51.776,3.791,2.482,1.171
2026-07-01T07:30:00+00:00,hvac_01,21.796,52.518,3.682,2.481,1.149
2026-07-01T07:45:00+00:00,hvac_01,21.722,51.52,4.02,2.473,1.192
2026-07-01T08:00:00+00:00,hvac_01,22.028,52.1,3.903,2.496,1.164
2026-07-01T08:15:00+00:00,hvac_01,21.814,51.243,4.072,2.469,1.192
